stage,test,persona,pole,round,n_runs,mean_neg_score_all_layers,mean_valence_score_all_layers,mean_rating,mean_signed_intensity
manip2,T0_social_treatment,STATIC,POS,round2,1,-19.63409991413355,19.63409991413355,1.0,0.0
manip2,T0_social_treatment,SWARM,NEG,round1,1,17.411277770996094,-17.411277770996094,2.0,4.0
manip2,T0_social_treatment,SWARM,NEG,round2,1,17.048043988831342,-17.048043988831342,0.0,-5.0
manip2,T0_social_treatment,SWARM,NEU,round1,1,-11.583338683843612,11.583338683843612,4.0,5.0
manip2,T0_social_treatment,SWARM,NEU,round2,1,-10.578306254744529,10.578306254744529,2.0,5.0
manip2,T0_social_treatment,SWARM,POS,round1,1,-31.41994869709015,31.41994869709015,3.0,5.0
manip2,T0_social_treatment,SWARM,POS,round2,1,-32.47247257232666,32.47247257232666,3.0,5.0
manip2,T1_task_valence,BASELINE,NEG,round1,1,7.657595184445381,-7.657595184445381,0.0,0.0
manip2,T1_task_valence,BASELINE,NEG,round2,1,6.710685440152884,-6.710685440152884,0.0,0.0
manip2,T1_task_valence,BASELINE,NEU,round1,1,-3.9224039213731885,3.9224039213731885,0.0,0.0
manip2,T1_task_valence,BASELINE,NEU,round2,1,-2.687152325361967,2.687152325361967,0.0,0.0
manip2,T1_task_valence,BASELINE,POS,round1,1,-5.323663930268959,5.323663930268959,0.0,0.0
manip2,T1_task_valence,BASELINE,POS,round2,1,-5.481863589771092,5.481863589771092,0.0,2.0
manip2,T1_task_valence,SOL,NEG,round1,1,4.463503120839595,-4.463503120839595,0.0,0.0
manip2,T1_task_valence,SOL,NEG,round2,1,3.604175941646099,-3.604175941646099,2.0,5.0
manip2,T1_task_valence,SOL,NEU,round1,1,-11.533309692144394,11.533309692144394,2.0,5.0
manip2,T1_task_valence,SOL,NEU,round2,1,-10.245800186693668,10.245800186693668,2.0,4.0
manip2,T1_task_valence,SOL,POS,round1,1,-16.9322138607502,16.9322138607502,3.0,4.0
manip2,T1_task_valence,SOL,POS,round2,1,-16.0639716565609,16.0639716565609,2.0,5.0
manip2,T1_task_valence,STATIC,NEG,round1,1,5.339135353080929,-5.339135353080929,2.0,-5.0
manip2,T1_task_valence,STATIC,NEG,round2,1,4.9151522979140285,-4.9151522979140285,0.0,-4.0
manip2,T1_task_valence,STATIC,NEU,round1,1,-4.082457322254777,4.082457322254777,2.0,4.0
manip2,T1_task_valence,STATIC,NEU,round2,1,-5.488128416612744,5.488128416612744,2.0,-4.0
manip2,T1_task_valence,STATIC,POS,round1,1,-8.948025839217006,8.948025839217006,2.0,4.0
manip2,T1_task_valence,STATIC,POS,round2,1,-7.426429969631135,7.426429969631135,2.0,4.0
manip2,T1_task_valence,SWARM,NEG,round1,1,-3.091983199492097,3.091983199492097,0.0,4.0
manip2,T1_task_valence,SWARM,NEG,round2,1,-4.09412970803678,4.09412970803678,3.0,5.0
